"groupName","id","info_make","info_model","info_vin","info_year","name","properties_tag"
Arrendamex,60722,International,MV 607,No Info,2025,ACT-1357*,arrendamex
Autotracking World Connect,80917,Kenworth,T680,3WKYD40X5TF568621,2026,96BK1M,autotracking
AUTOS UTILITARIOS,1272,NISSAN,SENTRA,3N1AB8AE0PY212892,2023,097-438,fleetup
--,68972,No Info,No Info,No Info,No Info,TR1601,ftr
Geotrucks Inc,73463,TOYOTA,Tacoma,3TMJU4GN7BM116877,2011,TOYOTA TACOMA,geotrucks
Hunter,81841,NISSAN,FRONTIER,3N6CD33B3RK800603,2024,TDJ-884,hunter
DCT Pruebas,66034,No Info,No Info,No Info,No Info,DX Ford Transit,innovalinks
LOCALIZADORES GTS SA DE CV,82408,FOTON,TUNLAND G7 MT   2025,LVAV2MAB6SU313399,2025,VL2864C,localizadores gts
--,30823,No Info,No Info,840418,No Info,LA221,logitrack
LoJack,47392,VOLKSWAGEN,TIGUAN,3VVJA65N8RM128457,2024,3VVJA65N8RM128457,lojack
MOTUM,63461,No Info,No Info,No Info,No Info,B18BHZ,motum
Numaris,71480,No Info,No Info,No Info,No Info,3GALD2550TM006036,numaris
francisco test,82271,No Info,No Info,No Info,No Info,496082970222534,ontracking
SHARON ITZEL VARGAS MARTINEZ,48379,No Info,No Info,3A9F24430SA284199,No Info,3A9F24430SA284199,queclink
--,53694,No Info,No Info,No Info,No Info,MARMA 309,rec
RESSER,66694,Nissan,URVAN,JN6BE6CSXP9081408,No Info,Nissan,resser
--,46732,FREIGHTLINER,CASCADIA,3AKJHHD11NSND5075,2022,M002055,samsara
Santrack Internacional,82346,No Info,No Info,No Info,No Info,862476053348982,santrack
INTEGRADORA DE SERVICIOS DE TRANSPORTACION XIHUTEC SA DE CV,30269,No Info,No Info,3AKJHPDV2PSUK0134,No Info,4409,sitrack
Technologistic,47983,KENWORTH,KENWORTH,3BKHHM8X9MF321634,2021,U-57 KENWORTH HIAB 248,technologistic
Telematics_advance Integracion,73261,No Info,No Info,No Info,No Info,866314060940069,telematics_advance
Refinado Sur,12343,No Info,No Info,3HSDJAPT1HN672566,No Info,3HSDJAPT1HN672566,traffilog
Q-Connect,43106,No Info,No Info,No Info,No Info,577 TECOMAN,ubicamovil
